ID,Title,Acceptance,Difficulty,Locked
43,Multiply Strings,32.6%,Medium,False
44,Wildcard Matching,24.0%,Hard,False
45,Jump Game II,29.6%,Hard,False
46,Permutations,60.0%,Medium,False
47,Permutations II,44.0%,Medium,False
48,Rotate Image,53.2%,Medium,False
49,Group Anagrams,52.4%,Medium,False
50,"Pow(x, n)",29.0%,Medium,False
51,N-Queens,43.5%,Hard,False
52,N-Queens II,55.4%,Hard,False
53,Maximum Subarray,45.6%,Easy,False
54,Spiral Matrix,32.6%,Medium,False
55,Jump Game,33.1%,Medium,False
56,Merge Intervals,37.9%,Medium,False
57,Insert Interval,32.5%,Hard,False
58,Length of Last Word,32.4%,Easy,False
59,Spiral Matrix II,51.0%,Medium,False
60,Permutation Sequence,35.2%,Medium,False
61,Rotate List,28.8%,Medium,False
62,Unique Paths,51.2%,Medium,False
63,Unique Paths II,33.9%,Medium,False
64,Minimum Path Sum,50.7%,Medium,False
65,Valid Number,14.7%,Hard,False
66,Plus One,41.9%,Easy,False
67,Add Binary,42.1%,Easy,False
68,Text Justification,25.8%,Hard,False
69,Sqrt(x),32.8%,Easy,False
70,Climbing Stairs,46.1%,Easy,False
71,Simplify Path,30.9%,Medium,False
72,Edit Distance,41.1%,Hard,False
73,Set Matrix Zeroes,41.9%,Medium,False
74,Search a 2D Matrix,35.8%,Medium,False
75,Sort Colors,44.5%,Medium,False
76,Minimum Window Substring,33.3%,Hard,False
77,Combinations,51.9%,Medium,False
78,Subsets,57.7%,Medium,False
79,Word Search,33.6%,Medium,False
80,Remove Duplicates from Sorted Array II,42.4%,Medium,False
81,Search in Rotated Sorted Array II,32.9%,Medium,False
82,Remove Duplicates from Sorted List II,35.2%,Medium,False
83,Remove Duplicates from Sorted List,44.2%,Easy,False
84,Largest Rectangle in Histogram,33.4%,Hard,False
85,Maximal Rectangle,35.8%,Hard,False
86,Partition List,39.6%,Medium,False
87,Scramble String,32.8%,Hard,False
88,Merge Sorted Array,38.0%,Easy,False
89,Gray Code,47.8%,Medium,False
90,Subsets II,45.1%,Medium,False
91,Decode Ways,23.6%,Medium,False
92,Reverse Linked List II,37.2%,Medium,False
93,Restore IP Addresses,33.6%,Medium,False
94,Binary Tree Inorder Traversal,60.6%,Medium,False
95,Unique Binary Search Trees II,38.4%,Medium,False
96,Unique Binary Search Trees,49.5%,Medium,False
97,Interleaving String,30.0%,Hard,False
98,Validate Binary Search Tree,27.0%,Medium,False
99,Recover Binary Search Tree,37.3%,Hard,False
100,Same Tree,51.8%,Easy,False
101,Symmetric Tree,45.5%,Easy,False
102,Binary Tree Level Order Traversal,52.0%,Medium,False
103,Binary Tree Zigzag Level Order Traversal,45.1%,Medium,False
104,Maximum Depth of Binary Tree,63.9%,Easy,False
105,Construct Binary Tree from Preorder and Inorder Traversal,45.5%,Medium,False
106,Construct Binary Tree from Inorder and Postorder Traversal,42.9%,Medium,False
107,Binary Tree Level Order Traversal II,49.8%,Easy,False
108,Convert Sorted Array to Binary Search Tree,54.9%,Easy,False
109,Convert Sorted List to Binary Search Tree,44.7%,Medium,False
110,Balanced Binary Tree,42.5%,Easy,False
111,Minimum Depth of Binary Tree,36.5%,Easy,False
112,Path Sum,39.8%,Easy,False
113,Path Sum II,44.1%,Medium,False
114,Flatten Binary Tree to Linked List,46.2%,Medium,False
115,Distinct Subsequences,36.7%,Hard,False
116,Populating Next Right Pointers in Each Node,41.7%,Medium,False
117,Populating Next Right Pointers in Each Node II,36.9%,Medium,False
118,Pascal's Triangle,49.9%,Easy,False
119,Pascal's Triangle II,46.8%,Easy,False
120,Triangle,42.2%,Medium,False
121,Best Time to Buy and Sell Stock,49.3%,Easy,False
122,Best Time to Buy and Sell Stock II,54.3%,Easy,False
123,Best Time to Buy and Sell Stock III,35.9%,Hard,False
124,Binary Tree Maximum Path Sum,32.2%,Hard,False
125,Valid Palindrome,34.0%,Easy,False
126,Word Ladder II,20.4%,Hard,False
127,Word Ladder,27.4%,Medium,False
128,Longest Consecutive Sequence,43.7%,Hard,False
129,Sum Root to Leaf Numbers,45.3%,Medium,False
130,Surrounded Regions,25.2%,Medium,False
131,Palindrome Partitioning,44.6%,Medium,False
132,Palindrome Partitioning II,29.1%,Hard,False
133,Clone Graph,31.3%,Medium,False
134,Gas Station,36.4%,Medium,False
135,Candy,30.2%,Hard,False
136,Single Number,62.8%,Easy,False
137,Single Number II,48.4%,Medium,False
138,Copy List with Random Pointer,32.3%,Medium,False
139,Word Break,38.1%,Medium,False
140,Word Break II,29.6%,Hard,False
141,Linked List Cycle,39.5%,Easy,False
142,Linked List Cycle II,35.1%,Medium,False
143,Reorder List,34.2%,Medium,False
144,Binary Tree Preorder Traversal,53.9%,Medium,False
145,Binary Tree Postorder Traversal,52.2%,Hard,False
146,LRU Cache,29.8%,Medium,False
147,Insertion Sort List,39.5%,Medium,False
148,Sort List,39.3%,Medium,False
149,Max Points on a Line,16.6%,Hard,False
150,Evaluate Reverse Polish Notation,34.6%,Medium,False
151,Reverse Words in a String,19.2%,Medium,False
152,Maximum Product Subarray,30.7%,Medium,False
153,Find Minimum in Rotated Sorted Array,44.2%,Medium,False
154,Find Minimum in Rotated Sorted Array II,40.2%,Hard,False
155,Min Stack,40.8%,Easy,False
156,Binary Tree Upside Down,53.8%,Medium,True
157,Read N Characters Given Read4,32.1%,Easy,True
158,Read N Characters Given Read4 II - Call multiple times,30.4%,Hard,True
159,Longest Substring with At Most Two Distinct Characters,48.6%,Medium,True
160,Intersection of Two Linked Lists,37.7%,Easy,False
161,One Edit Distance,32.2%,Medium,True
162,Find Peak Element,42.5%,Medium,False
163,Missing Ranges,23.8%,Medium,True
164,Maximum Gap,34.2%,Hard,False
165,Compare Version Numbers,25.8%,Medium,False
166,Fraction to Recurring Decimal,20.7%,Medium,False
167,Two Sum II - Input array is sorted,52.5%,Easy,False
168,Excel Sheet Column Title,30.1%,Easy,False
169,Majority Element,55.8%,Easy,False
170,Two Sum III - Data structure design,32.6%,Easy,True
171,Excel Sheet Column Number,53.2%,Easy,False
172,Factorial Trailing Zeroes,37.7%,Easy,False
173,Binary Search Tree Iterator,53.0%,Medium,False
174,Dungeon Game,28.8%,Hard,False
175,Combine Two Tables,57.3%,Easy,False
176,Second Highest Salary,29.9%,Easy,False
177,Nth Highest Salary,29.5%,Medium,False
178,Rank Scores,42.1%,Medium,False
179,Largest Number,27.4%,Medium,False
180,Consecutive Numbers,37.2%,Medium,False
181,Employees Earning More Than Their Managers,53.3%,Easy,False
182,Duplicate Emails,59.2%,Easy,False
183,Customers Who Never Order,49.7%,Easy,False
184,Department Highest Salary,33.5%,Medium,False
185,Department Top Three Salaries,31.1%,Hard,False
186,Reverse Words in a String II,41.2%,Medium,True
187,Repeated DNA Sequences,37.7%,Medium,False
188,Best Time to Buy and Sell Stock IV,27.4%,Hard,False
189,Rotate Array,32.9%,Easy,False
190,Reverse Bits,34.8%,Easy,False
191,Number of 1 Bits,46.8%,Easy,False
192,Word Frequency,26.4%,Medium,False
193,Valid Phone Numbers,25.3%,Easy,False
194,Transpose File,23.9%,Medium,False
195,Tenth Line,33.5%,Easy,False
196,Delete Duplicate Emails,37.6%,Easy,False
197,Rising Temperature,37.0%,Easy,False
198,House Robber,41.6%,Easy,False
199,Binary Tree Right Side View,51.4%,Medium,False
200,Number of Islands,44.7%,Medium,False
201,Bitwise AND of Numbers Range,37.1%,Medium,False
202,Happy Number,48.4%,Easy,False
203,Remove Linked List Elements,37.1%,Easy,False
204,Count Primes,30.5%,Easy,False
205,Isomorphic Strings,39.0%,Easy,False
206,Reverse Linked List,59.4%,Easy,False
207,Course Schedule,40.7%,Medium,False
208,Implement Trie (Prefix Tree),43.6%,Medium,False
209,Minimum Size Subarray Sum,36.6%,Medium,False
210,Course Schedule II,37.9%,Medium,False
211,Add and Search Word - Data structure design,33.9%,Medium,False
212,Word Search II,31.9%,Hard,False
213,House Robber II,35.9%,Medium,False
214,Shortest Palindrome,28.9%,Hard,False
215,Kth Largest Element in an Array,52.2%,Medium,False
216,Combination Sum III,54.4%,Medium,False
217,Contains Duplicate,54.8%,Easy,False
218,The Skyline Problem,33.3%,Hard,False
219,Contains Duplicate II,36.7%,Easy,False
220,Contains Duplicate III,20.5%,Medium,False
221,Maximal Square,35.2%,Medium,False
222,Count Complete Tree Nodes,40.6%,Medium,False
223,Rectangle Area,37.0%,Medium,False
224,Basic Calculator,35.3%,Hard,False
225,Implement Stack using Queues,42.6%,Easy,False
226,Invert Binary Tree,61.5%,Easy,False
227,Basic Calculator II,35.6%,Medium,False
228,Summary Ranges,38.0%,Medium,False
229,Majority Element II,34.1%,Medium,False
230,Kth Smallest Element in a BST,55.7%,Medium,False
231,Power of Two,42.8%,Easy,False
232,Implement Queue using Stacks,46.9%,Easy,False
233,Number of Digit One,30.9%,Hard,False
234,Palindrome Linked List,37.9%,Easy,False
235,Lowest Common Ancestor of a Binary Search Tree,47.9%,Easy,False
236,Lowest Common Ancestor of a Binary Tree,42.3%,Medium,False
237,Delete Node in a Linked List,58.0%,Easy,False
238,Product of Array Except Self,58.5%,Medium,False
239,Sliding Window Maximum,40.7%,Hard,False
240,Search a 2D Matrix II,42.3%,Medium,False
241,Different Ways to Add Parentheses,53.1%,Medium,False
242,Valid Anagram,55.0%,Easy,False
243,Shortest Word Distance,59.8%,Easy,True
244,Shortest Word Distance II,51.0%,Medium,True
245,Shortest Word Distance III,54.8%,Medium,True
246,Strobogrammatic Number,44.0%,Easy,True
247,Strobogrammatic Number II,46.3%,Medium,True
248,Strobogrammatic Number III,38.5%,Hard,True
249,Group Shifted Strings,51.2%,Medium,True
250,Count Univalue Subtrees,51.0%,Medium,True
251,Flatten 2D Vector,45.0%,Medium,True
252,Meeting Rooms,53.7%,Easy,True
253,Meeting Rooms II,44.6%,Medium,True
254,Factor Combinations,45.9%,Medium,True
255,Verify Preorder Sequence in Binary Search Tree,45.1%,Medium,True
256,Paint House,51.1%,Easy,True
257,Binary Tree Paths,48.9%,Easy,False
258,Add Digits,55.5%,Easy,False
259,3Sum Smaller,46.5%,Medium,True
260,Single Number III,59.4%,Medium,False
261,Graph Valid Tree,41.1%,Medium,True
262,Trips and Users,29.2%,Hard,False
263,Ugly Number,41.2%,Easy,False
264,Ugly Number II,38.5%,Medium,False
265,Paint House II,43.6%,Hard,True
266,Palindrome Permutation,61.1%,Easy,True
267,Palindrome Permutation II,35.3%,Medium,True
268,Missing Number,50.2%,Easy,False
269,Alien Dictionary,33.9%,Hard,True
270,Closest Binary Search Tree Value,46.0%,Easy,True
271,Encode and Decode Strings,29.9%,Medium,True
272,Closest Binary Search Tree Value II,48.6%,Hard,True
273,Integer to English Words,25.8%,Hard,False
274,H-Index,35.2%,Medium,False
275,H-Index II,36.0%,Medium,False
276,Paint Fence,37.5%,Easy,True
277,Find the Celebrity,39.9%,Medium,True
278,First Bad Version,32.8%,Easy,False
279,Perfect Squares,44.4%,Medium,False
280,Wiggle Sort,62.5%,Medium,True
281,Zigzag Iterator,57.5%,Medium,True
282,Expression Add Operators,34.6%,Hard,False
283,Move Zeroes,56.2%,Easy,False
284,Peeking Iterator,43.2%,Medium,False
285,Inorder Successor in BST,38.0%,Medium,True
286,Walls and Gates,52.1%,Medium,True
287,Find the Duplicate Number,52.5%,Medium,False
288,Unique Word Abbreviation,21.1%,Medium,True
289,Game of Life,51.0%,Medium,False
290,Word Pattern,36.2%,Easy,False
291,Word Pattern II,42.7%,Hard,True
292,Nim Game,56.0%,Easy,False
293,Flip Game,59.9%,Easy,True
294,Flip Game II,49.4%,Medium,True
295,Find Median from Data Stream,41.0%,Hard,False
296,Best Meeting Point,56.8%,Hard,True
297,Serialize and Deserialize Binary Tree,44.9%,Hard,False
298,Binary Tree Longest Consecutive Sequence,46.0%,Medium,True
299,Bulls and Cows,41.4%,Easy,False
300,Longest Increasing Subsequence,41.9%,Medium,False
301,Remove Invalid Parentheses,41.6%,Hard,False
302,Smallest Rectangle Enclosing Black Pixels,50.7%,Hard,True
303,Range Sum Query - Immutable,41.7%,Easy,False
304,Range Sum Query 2D - Immutable,36.0%,Medium,False
305,Number of Islands II,40.6%,Hard,True
306,Additive Number,28.9%,Medium,False
307,Range Sum Query - Mutable,32.0%,Medium,False
308,Range Sum Query 2D - Mutable,34.1%,Hard,True
309,Best Time to Buy and Sell Stock with Cooldown,45.5%,Medium,False
310,Minimum Height Trees,31.4%,Medium,False
311,Sparse Matrix Multiplication,59.0%,Medium,True
312,Burst Balloons,49.8%,Hard,False
313,Super Ugly Number,43.6%,Medium,False
314,Binary Tree Vertical Order Traversal,43.2%,Medium,True
315,Count of Smaller Numbers After Self,40.6%,Hard,False
316,Remove Duplicate Letters,34.2%,Hard,False
317,Shortest Distance from All Buildings,40.0%,Hard,True
318,Maximum Product of Word Lengths,50.1%,Medium,False
319,Bulb Switcher,44.9%,Medium,False
320,Generalized Abbreviation,50.5%,Medium,True
321,Create Maximum Number,26.2%,Hard,False
322,Coin Change,33.5%,Medium,False
323,Number of Connected Components in an Undirected Graph,54.2%,Medium,True
324,Wiggle Sort II,29.1%,Medium,False
325,Maximum Size Subarray Sum Equals k,46.1%,Medium,True
326,Power of Three,41.9%,Easy,False
327,Count of Range Sum,34.3%,Hard,False
328,Odd Even Linked List,51.9%,Medium,False
329,Longest Increasing Path in a Matrix,42.0%,Hard,False
330,Patching Array,34.0%,Hard,False
331,Verify Preorder Serialization of a Binary Tree,39.6%,Medium,False
332,Reconstruct Itinerary,33.9%,Medium,False
333,Largest BST Subtree,34.6%,Medium,True
334,Increasing Triplet Subsequence,39.8%,Medium,False
335,Self Crossing,27.5%,Hard,False
336,Palindrome Pairs,32.7%,Hard,False
337,House Robber III,49.6%,Medium,False
338,Counting Bits,66.7%,Medium,False
339,Nested List Weight Sum,71.5%,Easy,True
340,Longest Substring with At Most K Distinct Characters,42.5%,Hard,True
341,Flatten Nested List Iterator,51.1%,Medium,False
342,Power of Four,41.1%,Easy,False
343,Integer Break,49.3%,Medium,False
344,Reverse String,65.5%,Easy,False
345,Reverse Vowels of a String,43.0%,Easy,False
346,Moving Average from Data Stream,68.9%,Easy,True
347,Top K Frequent Elements,58.8%,Medium,False
348,Design Tic-Tac-Toe,52.6%,Medium,True
349,Intersection of Two Arrays,59.2%,Easy,False
350,Intersection of Two Arrays II,50.2%,Easy,False
351,Android Unlock Patterns,47.4%,Medium,True
352,Data Stream as Disjoint Intervals,45.2%,Hard,False
353,Design Snake Game,32.7%,Medium,True
354,Russian Doll Envelopes,34.8%,Hard,False
355,Design Twitter,29.0%,Medium,False
356,Line Reflection,31.4%,Medium,True
357,Count Numbers with Unique Digits,47.8%,Medium,False
358,Rearrange String k Distance Apart,34.2%,Hard,True
359,Logger Rate Limiter,68.5%,Easy,True
360,Sort Transformed Array,47.9%,Medium,True
361,Bomb Enemy,45.1%,Medium,True
362,Design Hit Counter,61.9%,Medium,True
363,Max Sum of Rectangle No Larger Than K,36.2%,Hard,False
364,Nested List Weight Sum II,61.1%,Medium,True
365,Water and Jug Problem,30.0%,Medium,False
366,Find Leaves of Binary Tree,69.1%,Medium,True
367,Valid Perfect Square,40.9%,Easy,False
368,Largest Divisible Subset,35.8%,Medium,False
369,Plus One Linked List,57.6%,Medium,True
370,Range Addition,61.9%,Medium,True
371,Sum of Two Integers,50.7%,Easy,False
372,Super Pow,36.1%,Medium,False
373,Find K Pairs with Smallest Sums,35.3%,Medium,False
374,Guess Number Higher or Lower,41.3%,Easy,False
375,Guess Number Higher or Lower II,39.4%,Medium,False
376,Wiggle Subsequence,38.8%,Medium,False
377,Combination Sum IV,44.4%,Medium,False
378,Kth Smallest Element in a Sorted Matrix,52.1%,Medium,False
379,Design Phone Directory,45.3%,Medium,True
380,Insert Delete GetRandom O(1),45.2%,Medium,False
381,Insert Delete GetRandom O(1) - Duplicates allowed,33.3%,Hard,False
382,Linked List Random Node,51.0%,Medium,False
383,Ransom Note,51.4%,Easy,False
384,Shuffle an Array,51.8%,Medium,False
385,Mini Parser,32.9%,Medium,False
386,Lexicographical Numbers,49.3%,Medium,False
387,First Unique Character in a String,51.4%,Easy,False
388,Longest Absolute File Path,40.9%,Medium,False
389,Find the Difference,54.3%,Easy,False
390,Elimination Game,44.3%,Medium,False
391,Perfect Rectangle,29.5%,Hard,False
392,Is Subsequence,47.9%,Easy,False
393,UTF-8 Validation,36.9%,Medium,False
394,Decode String,47.9%,Medium,False
395,Longest Substring with At Least K Repeating Characters,40.1%,Medium,False
396,Rotate Function,35.9%,Medium,False
397,Integer Replacement,32.3%,Medium,False
398,Random Pick Index,53.0%,Medium,False
399,Evaluate Division,49.9%,Medium,False
400,Nth Digit,31.0%,Medium,False
401,Binary Watch,46.4%,Easy,False
402,Remove K Digits,27.4%,Medium,False
403,Frog Jump,38.2%,Hard,False
404,Sum of Left Leaves,50.2%,Easy,False
405,Convert a Number to Hexadecimal,43.1%,Easy,False
406,Queue Reconstruction by Height,62.4%,Medium,False
407,Trapping Rain Water II,40.6%,Hard,False
408,Valid Word Abbreviation,30.1%,Easy,True
409,Longest Palindrome,49.4%,Easy,False
410,Split Array Largest Sum,43.5%,Hard,False
411,Minimum Unique Word Abbreviation,35.7%,Hard,True
412,Fizz Buzz,61.1%,Easy,False
413,Arithmetic Slices,57.0%,Medium,False
414,Third Maximum Number,29.9%,Easy,False
415,Add Strings,45.9%,Easy,False
416,Partition Equal Subset Sum,42.2%,Medium,False
417,Pacific Atlantic Water Flow,39.3%,Medium,False
418,Sentence Screen Fitting,32.0%,Medium,True
419,Battleships in a Board,67.9%,Medium,False
420,Strong Password Checker,15.6%,Hard,False
421,Maximum XOR of Two Numbers in an Array,52.6%,Medium,False
422,Valid Word Square,37.0%,Easy,True
423,Reconstruct Original Digits from English,46.4%,Medium,False
424,Longest Repeating Character Replacement,45.4%,Medium,False
425,Word Squares,46.7%,Hard,True
426,Convert Binary Search Tree to Sorted Doubly Linked List,56.6%,Medium,True
427,Construct Quad Tree,60.3%,Medium,False
428,Serialize and Deserialize N-ary Tree,57.4%,Hard,True
429,N-ary Tree Level Order Traversal,62.3%,Medium,False
430,Flatten a Multilevel Doubly Linked List,48.7%,Medium,False
431,Encode N-ary Tree to Binary Tree,69.1%,Hard,True
432,All O`one Data Structure,31.3%,Hard,False
433,Minimum Genetic Mutation,40.2%,Medium,False
434,Number of Segments in a String,37.5%,Easy,False
435,Non-overlapping Intervals,42.2%,Medium,False
436,Find Right Interval,44.1%,Medium,False
437,Path Sum III,44.7%,Easy,False
438,Find All Anagrams in a String,40.2%,Medium,False
439,Ternary Expression Parser,55.0%,Medium,True
440,K-th Smallest in Lexicographical Order,27.8%,Hard,False
441,Arranging Coins,39.2%,Easy,False
442,Find All Duplicates in an Array,63.7%,Medium,False
443,String Compression,39.7%,Easy,False
444,Sequence Reconstruction,21.4%,Medium,True
445,Add Two Numbers II,52.7%,Medium,False
446,Arithmetic Slices II - Subsequence,31.8%,Hard,False
447,Number of Boomerangs,51.1%,Easy,False
448,Find All Numbers Disappeared in an Array,55.1%,Easy,False
449,Serialize and Deserialize BST,50.3%,Medium,False
450,Delete Node in a BST,41.7%,Medium,False
451,Sort Characters By Frequency,58.6%,Medium,False
452,Minimum Number of Arrows to Burst Balloons,48.1%,Medium,False
453,Minimum Moves to Equal Array Elements,49.8%,Easy,False
454,4Sum II,52.3%,Medium,False
455,Assign Cookies,49.0%,Easy,False
456,132 Pattern,28.6%,Medium,False
457,Circular Array Loop,28.5%,Medium,False
458,Poor Pigs,46.7%,Hard,False
459,Repeated Substring Pattern,41.4%,Easy,False
460,LFU Cache,32.3%,Hard,False
461,Hamming Distance,71.1%,Easy,False
462,Minimum Moves to Equal Array Elements II,53.2%,Medium,False
463,Island Perimeter,62.7%,Easy,False
464,Can I Win,28.4%,Medium,False
465,Optimal Account Balancing,45.4%,Hard,True
466,Count The Repetitions,27.8%,Hard,False
467,Unique Substrings in Wraparound String,34.9%,Medium,False
468,Validate IP Address,22.1%,Medium,False
469,Convex Polygon,36.5%,Medium,True
470,Implement Rand10() Using Rand7(),45.8%,Medium,False
471,Encode String with Shortest Length,46.2%,Hard,True
472,Concatenated Words,40.2%,Hard,False
473,Matchsticks to Square,36.9%,Medium,False
474,Ones and Zeroes,41.6%,Medium,False
475,Heaters,32.6%,Easy,False
476,Number Complement,63.2%,Easy,False
477,Total Hamming Distance,50.2%,Medium,False
478,Generate Random Point in a Circle,38.5%,Medium,False
479,Largest Palindrome Product,28.4%,Hard,False
480,Sliding Window Median,35.2%,Hard,False
481,Magical String,47.0%,Medium,False
482,License Key Formatting,42.6%,Easy,False
483,Smallest Good Base,35.2%,Hard,False
484,Find Permutation,59.4%,Medium,True
485,Max Consecutive Ones,56.1%,Easy,False
486,Predict the Winner,47.3%,Medium,False
487,Max Consecutive Ones II,48.2%,Medium,True
488,Zuma Game,40.3%,Hard,False
489,Robot Room Cleaner,67.5%,Hard,True
490,The Maze,50.1%,Medium,True
491,Increasing Subsequences,43.8%,Medium,False
492,Construct the Rectangle,49.2%,Easy,False
493,Reverse Pairs,24.3%,Hard,False
494,Target Sum,46.3%,Medium,False
495,Teemo Attacking,53.2%,Medium,False
496,Next Greater Element I,62.0%,Easy,False
497,Random Point in Non-overlapping Rectangles,37.2%,Medium,False
498,Diagonal Traverse,46.6%,Medium,False
499,The Maze III,39.6%,Hard,True
500,Keyboard Row,63.7%,Easy,False
501,Find Mode in Binary Search Tree,41.1%,Easy,False
502,IPO,39.0%,Hard,False
503,Next Greater Element II,53.8%,Medium,False
504,Base 7,45.6%,Easy,False
505,The Maze II,46.4%,Medium,True
506,Relative Ranks,49.5%,Easy,False
507,Perfect Number,35.2%,Easy,False
508,Most Frequent Subtree Sum,56.5%,Medium,False
509,Fibonacci Number,66.8%,Easy,False
510,Inorder Successor in BST II,56.6%,Medium,True
511,Game Play Analysis I,78.8%,Easy,True
512,Game Play Analysis II,55.2%,Easy,True
513,Find Bottom Left Tree Value,60.2%,Medium,False
514,Freedom Trail,41.8%,Hard,False
515,Find Largest Value in Each Tree Row,59.4%,Medium,False
516,Longest Palindromic Subsequence,50.3%,Medium,False
517,Super Washing Machines,37.7%,Hard,False
518,Coin Change 2,46.1%,Medium,False
519,Random Flip Matrix,35.3%,Medium,False
520,Detect Capital,53.0%,Easy,False
521,Longest Uncommon Subsequence I,57.1%,Easy,False
522,Longest Uncommon Subsequence II,33.5%,Medium,False
523,Continuous Subarray Sum,24.4%,Medium,False
524,Longest Word in Dictionary through Deleting,47.6%,Medium,False
525,Contiguous Array,44.7%,Medium,False
526,Beautiful Arrangement,56.5%,Medium,False
527,Word Abbreviation,52.8%,Hard,True
528,Random Pick with Weight,43.4%,Medium,False
529,Minesweeper,56.8%,Medium,False
530,Minimum Absolute Difference in BST,52.3%,Easy,False
531,Lonely Pixel I,58.4%,Medium,True
532,K-diff Pairs in an Array,30.9%,Easy,False
533,Lonely Pixel II,47.4%,Medium,True
534,Game Play Analysis III,72.5%,Medium,True
535,Encode and Decode TinyURL,78.6%,Medium,False
536,Construct Binary Tree from String,47.1%,Medium,True
537,Complex Number Multiplication,66.6%,Medium,False
538,Convert BST to Greater Tree,53.5%,Easy,False
539,Minimum Time Difference,50.5%,Medium,False
540,Single Element in a Sorted Array,57.6%,Medium,False
541,Reverse String II,47.2%,Easy,False
542,01 Matrix,38.2%,Medium,False
543,Diameter of Binary Tree,48.2%,Easy,False
544,Output Contest Matches,74.5%,Medium,True
545,Boundary of Binary Tree,37.8%,Medium,True
546,Remove Boxes,40.3%,Hard,False
547,Friend Circles,56.6%,Medium,False
548,Split Array with Equal Sum,44.3%,Medium,True
549,Binary Tree Longest Consecutive Sequence II,46.0%,Medium,True
550,Game Play Analysis IV,45.5%,Medium,True
551,Student Attendance Record I,46.4%,Easy,False
552,Student Attendance Record II,35.1%,Hard,False
553,Optimal Division,56.2%,Medium,False
554,Brick Wall,49.0%,Medium,False
555,Split Concatenated Strings,41.5%,Medium,True
556,Next Greater Element III,31.0%,Medium,False
557,Reverse Words in a String III,67.4%,Easy,False
558,Quad Tree Intersection,43.5%,Easy,False
559,Maximum Depth of N-ary Tree,67.3%,Easy,False
560,Subarray Sum Equals K,43.5%,Medium,False
561,Array Partition I,70.9%,Easy,False
562,Longest Line of Consecutive One in Matrix,45.3%,Medium,True
563,Binary Tree Tilt,47.7%,Easy,False
564,Find the Closest Palindrome,19.3%,Hard,False
565,Array Nesting,54.5%,Medium,False
566,Reshape the Matrix,59.9%,Easy,False
567,Permutation in String,40.0%,Medium,False
568,Maximum Vacation Days,39.4%,Hard,True
569,Median Employee Salary,53.6%,Hard,True
570,Managers with at Least 5 Direct Reports,64.8%,Medium,True
571,Find Median Given Frequency of Numbers,44.7%,Hard,True
572,Subtree of Another Tree,43.7%,Easy,False
573,Squirrel Simulation,55.1%,Medium,True
574,Winning Candidate,41.8%,Medium,True
575,Distribute Candies,60.7%,Easy,False
576,Out of Boundary Paths,33.6%,Medium,False
577,Employee Bonus,64.2%,Easy,True
578,Get Highest Answer Rate Question,36.6%,Medium,True
579,Find Cumulative Salary of an Employee,35.6%,Hard,True
580,Count Student Number in Departments,46.1%,Medium,True
581,Shortest Unsorted Continuous Subarray,30.7%,Easy,False
582,Kill Process,58.9%,Medium,True
583,Delete Operation for Two Strings,46.6%,Medium,False
584,Find Customer Referee,69.9%,Easy,True
585,Investments in 2016,51.5%,Medium,True
586,Customer Placing the Largest Number of Orders,70.1%,Easy,True
587,Erect the Fence,35.2%,Hard,False
588,Design In-Memory File System,43.3%,Hard,True
589,N-ary Tree Preorder Traversal,70.1%,Easy,False
590,N-ary Tree Postorder Traversal,70.1%,Easy,False
591,Tag Validator,33.8%,Hard,False
592,Fraction Addition and Subtraction,48.0%,Medium,False
